seed,n_test,auroc,aupr,brier,log_loss,cal_slope,cal_intercept
12345,22,1.0,1.0,8.116952883362103e-06,0.0006474823838042551,1.8100674581769025,-0.19327904270794555
12346,22,1.0,1.0,3.1571445227301176e-07,0.00017261913094011462,1.3804604010225858,-0.04878427942109846
12347,22,1.0,1.0,1.1234505995350057e-05,0.0007962396454386691,1.8275073141033542,0.20641853822299605
12348,22,1.0,1.0,0.044762016346600826,0.2169384840950932,6.099427591921547,-38.1673555208798
12349,22,1.0,1.0,0.04514363926983245,0.2580468349498148,6.120319706561984,-42.78781465420848
12350,22,1.0,1.0,1.3070269215178154e-05,0.0007866603506712917,1.87324895249394,0.21903857179854508
12351,22,1.0,1.0,0.04446786928849757,0.2055988961074264,2.7904272370561487,-22.667332358465096
12352,22,1.0,1.0,0.006325475002041761,0.02151113545118057,3.406700145898635,4.513081323061123
12353,22,1.0,1.0,8.209645818469678e-07,0.00027877087433434214,1.542965015806054,-0.04969960451267504
12354,22,1.0,1.0,0.04469924763951356,0.217604342411932,6.657769536290254,-39.995586028555074
12355,22,1.0,1.0,0.0446413485232605,0.21430570129940765,4.229540286072798,-29.65597138923326
12356,22,1.0,1.0,0.04712379264893169,0.3634634821980697,9.430602129677993,-81.337978977396
12357,22,1.0,1.0,6.524554475175073e-06,0.0006652931298380474,1.7888808916795447,0.14330128197999717
12358,22,1.0,1.0,0.04534495570541885,0.30547239425545997,4.111041437325399,-39.25221281330061
12359,22,1.0,1.0,1.6922289734056486e-10,4.4440416673736125e-06,1.0,0.0
12360,22,1.0,1.0,7.170882974826262e-10,8.018855943173297e-06,1.0,0.0
12361,22,0.9917355371900827,0.9924242424242424,0.049104176292315914,0.19399768572075946,0.45724349638232803,-0.6075961492583237
12362,22,1.0,1.0,0.003809704290239496,0.015704790908629054,3.746537305872208,3.1776702393983793
12363,22,1.0,1.0,1.208118765093432e-05,0.0007700636606362642,1.8573183673680704,0.21474301421629363
12364,22,1.0,1.0,7.609107284091534e-06,0.0006218328283276703,1.8111188178104571,0.19309571985557467
12365,22,1.0,1.0,0.0025715403250200003,0.012393300373756107,3.736718117794581,2.405624643022509
12366,22,1.0,1.0,2.6451611792553722e-05,0.0011591146960422205,1.9375288675618343,0.2616825184431946
12367,22,1.0,1.0,0.04419568919810047,0.1945128866384254,2.593655358825302,-20.525717977654956
12368,22,1.0,1.0,2.933275423805885e-05,0.0012493728230197766,2.115232709903852,0.32668307428148097
12369,22,0.9834710743801652,0.9841597796143251,0.06147079256407562,0.19805000814190307,0.5937892869551488,-1.1290817757519593
12370,22,1.0,1.0,4.715490942740425e-06,0.0006624357191323234,1.7389150067031152,0.15149066757219035
12371,22,1.0,1.0,0.005304259978831022,0.019360111003094503,3.6478716852900464,4.000316021443836
12372,22,1.0,1.0,1.7866497454950582e-05,0.000912562150882085,1.9149308835808878,0.23611777852168273
12373,22,1.0,1.0,0.002166209920532055,0.011216144160458623,3.692850893505343,2.1442535050707203
12374,22,1.0,1.0,5.617259357832585e-11,2.225532058523563e-06,1.0,0.0
