sample,fastq_1,fastq_2,BREED
SRX18040005,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040005_SRR22059186_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040006,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040006_SRR22059167_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040007,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040007_SRR22059185_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040008,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040008_SRR22059184_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040009,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040009_SRR22059183_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040011,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040011_SRR22059181_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040012,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040012_SRR22059180_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040013,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040013_SRR22059179_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040014,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040014_SRR22059178_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040016,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040016_SRR22059176_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040017,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040017_SRR22059175_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040018,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040018_SRR22059174_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040020,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040020_SRR22059172_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040020_SRR22059172_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040021,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040021_SRR22059171_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040022,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040022_SRR22059170_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040024,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040024_SRR22059168_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040025,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040025_SRR22059165_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040026,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040026_SRR22059164_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040026_SRR22059164_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040027,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040027_SRR22059163_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040028,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040028_SRR22059161_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040028_SRR22059161_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040029,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040029_SRR22059160_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040029_SRR22059160_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040030,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040030_SRR22059159_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040032,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040032_SRR22059158_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040033,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040033_SRR22059157_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040034,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040034_SRR22059156_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040035,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040035_SRR22059155_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040036,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040036_SRR22059153_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040037,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040037_SRR22059152_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040038,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040038_SRR22059151_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040039,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040039_SRR22059154_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040040,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040040_SRR22059150_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040041,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040041_SRR22059149_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040043,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040043_SRR22059147_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040044,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040044_SRR22059145_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040045,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040045_SRR22059144_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040046,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040046_SRR22059143_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040047,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040047_SRR22059146_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040048,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040048_SRR22059142_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040048_SRR22059142_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040050,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040050_SRR22059166_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040050_SRR22059166_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040052,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040052_SRR22059139_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040054,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040054_SRR22059137_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040055,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040055_SRR22059135_2.fastq.gz,ABC_VIMS_Family_2017084
SRX18040056,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040056_SRR22059134_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040056_SRR22059134_2.fastq.gz,ABC_VIMS_Family_2017089
SRX18040058,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040058_SRR22059136_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040059,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040059_SRR22059132_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040060,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040060_SRR22059131_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040060_SRR22059131_2.fastq.gz,ABC_VIMS_Family_2017090
SRX18040061,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040061_SRR22059130_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040062,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040062_SRR22059129_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040062_SRR22059129_2.fastq.gz,ABC_VIMS_Family_2017120
SRX18040064,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040064_SRR22059127_1.fastq.gz,/gscratch/scrubbed/strigg/analyses/20241205_FetchNGS/fastq/SRX18040064_SRR22059127_2.fastq.gz,ABC_VIMS_Family_2017084
